image_id,id,split
009_AM_Chest_AP2,009,train
386_AM_Chest_AP7,386,train
386_AM_Chest_AP3,386,train
386_AM_Chest_AP13,386,train
165_AM_Chest_AP3,165,train
165_AM_Chest_AP4,165,train
014_AM_Chest_AP3,014,train
011_AM_Chest_AP3,011,train
699_AM_Chest_AP1,699,train
699_AM_Chest_AP6,699,train
699_AM_Chest_AP3,699,train
699_AM_Chest_AP11,699,train
699_AM_Chest_AP15,699,train
699_AM_Chest_AP14,699,train
699_AM_Chest_AP10,699,train
699_AM_Chest_AP2,699,train
451_AM_Chest_AP3,451,train
292_AM_Chest_AP,292,train
632_AM_Chest_AP1,632,train
632_AM_Chest_AP3,632,train
422_AM_Chest_AP3,422,train
422_AM_Chest_AP1,422,train
356_AM_Chest_AP1,356,train
356_AM_Chest_AP2,356,train
482_AM_Chest_AP2,482,train
482_AM_Chest_AP5,482,train
482_AM_Chest_AP1,482,train
414_AM_Chest_AP5,414,train
414_AM_Chest_AP4,414,train
414_AM_Chest_AP1,414,train
637_AM_Chest_AP2,637,train
637_AM_Chest_AP4,637,train
067_AM_Chest_AP1,067,train
227_AM_Chest_AP5,227,train
227_AM_Chest_AP3,227,train
227_AM_Chest_AP4,227,train
651_AM_Chest_AP11,651,train
651_AM_Chest_AP16,651,train
651_AM_Chest_AP12,651,train
651_AM_Chest_AP17,651,train
651_AM_Chest_AP15,651,train
651_AM_Chest_AP1,651,train
012_PM_Chest_AP,012,train
167_AM_Chest_AP10,167,train
167_AM_Chest_AP2,167,train
475_AM_Chest_AP10,475,train
475_AM_Chest_AP9,475,train
008_AM_Chest_AP1,008,train
089_AM_Chest_AP3,089,train
089_AM_Chest_AP1,089,train
059_AM_Chest_AP2,059,train
059_AM_Chest_AP4,059,train
858_AM_Chest_AP2,858,train
858_AM_Chest_AP3,858,train
858_AM_Chest_AP10,858,train
668_AM_Chest_AP8,668,train
668_AM_Chest_AP14,668,train
668_AM_Chest_AP10,668,train
668_AM_Chest_AP4,668,train
412_AM_Chest_AP7,412,train
513_AM_Chest_AP10,513,train
513_AM_Chest_AP3,513,train
513_AM_Chest_AP2,513,train
606_AM_Chest_AP1,606,train
446_AM_Chest_AP2,446,train
314_AM_Chest_AP1,314,train
557_AM_Chest_AP1,557,train
557_AM_Chest_AP3,557,train
806_AM_Chest_AP4,806,train
806_AM_Chest_AP1,806,train
096_AM_Chest_AP2,096,train
822_AM_Chest_AP7,822,train
529_AM_Chest_AP1,529,train
162_AM_Chest_AP8,162,train
691_AM_Chest_AP15,691,train
691_AM_Chest_AP33,691,train
691_AM_Chest_AP4,691,train
023_PM_Chest_AP3,023,train
024_PM_Chest_AP1,024,train
733_AM_Chest_AP3,733,train
210_AM_Chest_AP2,210,train
375_AM_Chest_AP2,375,train
677_AM_Chest_AP1,677,train
677_AM_Chest_AP4,677,train
735_AM_Chest_AP6,735,train
735_AM_Chest_AP2,735,train
735_AM_Chest_AP5,735,train
670_AM_Chest_AP4,670,train
046_AM_Chest_AP1,046,train
185_AM_Chest_AP1,185,train
424_AM_Chest_AP2,424,train
424_AM_Chest_AP4,424,train
424_AM_Chest_AP5,424,train
424_AM_Chest_AP3,424,train
123_AM_Chest_AP2,123,train
533_AM_Chest_AP8,533,train
533_AM_Chest_AP10,533,train
533_AM_Chest_AP5,533,train
533_AM_Chest_AP6,533,train
548_AM_Chest_AP4,548,train
837_AM_Chest_AP2,837,train
140_AM_Chest_AP2,140,train
468_AM_Chest_AP1,468,train
298_AM_Chest_AP8,298,train
298_AM_Chest_AP1,298,train
669_AM_Chest_AP2,669,train
669_AM_Chest_AP1,669,train
669_AM_Chest_AP7,669,train
577_AM_Chest_AP2,577,train
351_AM_Chest_AP3,351,train
838_AM_Chest_AP3,838,train
659_AM_Chest_AP3,659,train
659_AM_Chest_AP1,659,train
116_AM_Chest_AP14,116,train
116_AM_Chest_AP17,116,train
471_AM_Chest_AP3,471,train
214_AM_Chest_AP1,214,train
463_AM_Chest_AP3,463,train
771_AM_Chest_AP1,771,train
652_AM_Chest_AP2,652,train
515_AM_Chest_AP5,515,train
515_AM_Chest_AP6,515,train
515_AM_Chest_AP2,515,train
022_PM_Chest_AP,022,train
413_AM_Chest_AP1,413,train
346_AM_Chest_AP2,346,train
346_AM_Chest_AP3,346,train
545_AM_Chest_AP2,545,train
409_AM_Chest_AP3,409,train
409_AM_Chest_AP31,409,train
409_AM_Chest_AP21,409,train
409_AM_Chest_AP18,409,train
409_AM_Chest_AP16,409,train
409_AM_Chest_AP34,409,train
409_AM_Chest_AP11,409,train
409_AM_Chest_AP6,409,train
409_AM_Chest_AP15,409,train
139_AM_Chest_AP3,139,train
437_AM_Chest_AP1,437,train
492_AM_Chest_AP7,492,train
492_AM_Chest_AP1,492,train
492_AM_Chest_AP3,492,train
157_AM_Chest_AP2,157,train
538_AM_Chest_AP2,538,train
180_AM_Chest_AP4,180,train
829_AM_Chest_AP1,829,train
301_AM_Chest_AP2,301,train
301_AM_Chest_AP1,301,train
189_AM_Chest_AP1,189,train
054_PM_Chest_AP1,054,train
056_AM_Chest_AP,056,train
698_AM_Chest_AP2,698,train
698_AM_Chest_AP10,698,train
698_AM_Chest_AP3,698,train
698_AM_Chest_AP6,698,train
129_AM_Chest_AP7,129,train
686_AM_Chest_AP3,686,train
766_PM_Chest_AP1,766,train
766_AM_Chest_AP2,766,train
689_AM_Chest_AP13,689,train
689_AM_Chest_AP4,689,train
689_AM_Chest_AP10,689,train
689_AM_Chest_AP5,689,train
551_AM_Chest_AP2,551,train
565_AM_Chest_AP3,565,train
565_AM_Chest_AP2,565,train
111_AM_Chest_AP1,111,train
111_AM_Chest_AP3,111,train
147_AM_Chest_AP3,147,train
147_AM_Chest_AP1,147,train
428_AM_Chest_AP1,428,train
547_AM_Chest_AP5,547,train
547_AM_Chest_AP3,547,train
547_AM_Chest_AP4,547,train
579_AM_Chest_AP9,579,train
579_AM_Chest_AP11,579,train
579_AM_Chest_AP3,579,train
315_AM_Chest_AP4,315,train
420_AM_Chest_AP2,420,train
420_AM_Chest_AP3,420,train
750_AM_Chest_AP2,750,train
204_AM_Chest_AP2,204,train
204_AM_Chest_AP1,204,train
581_AM_Chest_AP1,581,train
682_AM_Chest_AP1,682,train
856_AM_Chest_AP5,856,train
856_AM_Chest_AP6,856,train
856_AM_Chest_AP9,856,train
215_AM_Chest_AP2,215,train
334_AM_Chest_AP2,334,train
403_AM_Chest_AP10,403,train
403_AM_Chest_AP7,403,train
403_AM_Chest_AP2,403,train
655_AM_Chest_AP13,655,train
655_AM_Chest_AP15,655,train
655_AM_Chest_AP10,655,train
770_AM_Chest_AP3,770,train
770_AM_Chest_AP1,770,train
221_AM_Chest_AP7,221,train
221_AM_Chest_AP6,221,train
201_AM_Chest_AP3,201,train
247_AM_Chest_AP2,247,train
232_AM_Chest_AP2,232,train
452_AM_Chest_AP6,452,train
452_AM_Chest_AP2,452,train
820_AM_Chest_AP9,820,train
820_AM_Chest_AP5,820,train
820_AM_Chest_AP7,820,train
820_AM_Chest_AP4,820,train
234_AM_Chest_AP1,234,train
031_PM_Chest_AP6,031,train
874_AM_Chest_AP1,874,train
476_AM_Chest_AP1,476,train
476_AM_Chest_AP6,476,train
500_AM_Chest_AP1,500,train
182_AM_Chest_AP1,182,train
182_AM_Chest_AP6,182,train
182_AM_Chest_AP4,182,train
572_AM_Chest_AP3,572,train
572_AM_Chest_AP9,572,train
440_AM_Chest_AP1,440,train
440_AM_Chest_AP2,440,train
107_AM_Chest_AP10,107,train
107_AM_Chest_AP29,107,train
107_AM_Chest_AP16,107,train
107_AM_Chest_AP3,107,train
107_AM_Chest_AP4,107,train
032_AM_Chest_AP3,032,train
322_AM_Chest_AP5,322,train
765_AM_Chest_AP,765,train
385_AM_Chest_AP2,385,train
385_AM_Chest_AP3,385,train
757_AM_Chest_AP3,757,train
176_AM_Chest_AP2,176,train
713_AM_Chest_AP,713,train
296_AM_Chest_AP2,296,train
725_AM_Chest_AP1,725,train
725_AM_Chest_AP4,725,train
163_AM_Chest_AP1,163,train
187_AM_Chest_AP2,187,train
187_AM_Chest_AP9,187,train
187_AM_Chest_AP8,187,train
187_AM_Chest_AP5,187,train
552_AM_Chest_AP2,552,train
398_AM_Chest_AP2,398,train
813_AM_Chest_AP1,813,train
813_AM_Chest_AP2,813,train
813_AM_Chest_AP5,813,train
076_AM_Chest_AP12,076,train
076_AM_Chest_AP9,076,train
076_AM_Chest_AP11,076,train
076_AM_Chest_AP15,076,train
076_AM_Chest_AP23,076,train
076_AM_Chest_AP7,076,train
826_AM_Chest_AP3,826,train
826_AM_Chest_AP4,826,train
246_AM_Chest_AP2,246,train
635_AM_Chest_AP7,635,train
635_AM_Chest_AP6,635,train
172_AM_Chest_AP2,172,train
674_AM_Chest_AP4,674,train
674_AM_Chest_AP1,674,train
019_AM_Chest_AP,019,train
797_AM_Chest_AP5,797,train
797_AM_Chest_AP11,797,train
797_AM_Chest_AP9,797,train
100_AM_Chest_AP2,100,train
100_AM_Chest_AP3,100,train
845_AM_Chest_AP7,845,train
487_AM_Chest_AP3,487,train
487_AM_Chest_AP11,487,train
487_AM_Chest_AP1,487,train
487_AM_Chest_AP5,487,train
654_AM_Chest_AP1,654,train
654_AM_Chest_AP6,654,train
392_AM_Chest_AP1,392,train
392_AM_Chest_AP3,392,train
323_AM_Chest_AP5,323,train
244_AM_Chest_AP12,244,train
244_AM_Chest_AP1,244,train
060_AM_Chest_AP1,060,train
457_AM_Chest_AP1,457,train
800_AM_Chest_AP10,800,train
800_AM_Chest_AP14,800,train
876_AM_Chest_AP1,876,train
092_AM_Chest_AP2,092,train
444_AM_Chest_AP3,444,train
444_AM_Chest_AP1,444,train
450_AM_Chest_AP6,450,train
450_AM_Chest_AP7,450,train
229_AM_Chest_AP2,229,train
618_AM_Chest_AP2,618,train
015_PM_Chest_AP,015,train
419_AM_Chest_AP2,419,train
419_AM_Chest_AP1,419,train
379_AM_Chest_AP3,379,train
590_AM_Chest_AP1,590,train
739_AM_Chest_AP4,739,train
739_AM_Chest_AP1,739,train
052_AM_Chest_AP,052,train
658_AM_Chest_AP1,658,train
658_AM_Chest_AP3,658,train
223_AM_Chest_AP1,223,train
641_AM_Chest_AP1,641,train
495_AM_Chest_AP10,495,train
495_AM_Chest_AP1,495,train
495_AM_Chest_AP11,495,train
830_AM_Chest_AP2,830,train
830_AM_Chest_AP9,830,train
136_AM_Chest_AP7,136,train
136_AM_Chest_AP1,136,train
556_AM_Chest_AP2,556,train
554_AM_Chest_AP1,554,train
554_AM_Chest_AP2,554,train
594_AM_Chest_AP3,594,train
594_AM_Chest_AP1,594,train
160_AM_Chest_AP2,160,train
160_AM_Chest_AP1,160,train
786_AM_Chest_AP11,786,train
786_AM_Chest_AP14,786,train
786_AM_Chest_AP17,786,train
786_AM_Chest_AP1,786,train
013_AM_Chest_AP1,013,train
773_AM_Chest_AP8,773,train
097_AM_Chest_AP1,097,train
155_AM_Chest_AP2,155,train
155_AM_Chest_AP7,155,train
150_AM_Chest_AP2,150,train
150_AM_Chest_AP1,150,train
616_AM_Chest_AP2,616,train
881_PM_Chest_AP3,881,train
681_AM_Chest_AP1,681,train
126_AM_Chest_AP3,126,train
211_AM_Chest_AP3,211,train
211_AM_Chest_AP10,211,train
383_AM_Chest_AP2,383,train
694_AM_Chest_AP1,694,train
631_AM_Chest_AP4,631,train
399_AM_Chest_AP1,399,train
399_AM_Chest_AP3,399,train
638_AM_Chest_AP1,638,train
630_AM_Chest_AP2,630,train
390_AM_Chest_AP24,390,train
390_AM_Chest_AP1,390,train
390_AM_Chest_AP25,390,train
360_AM_Chest_AP2,360,train
360_AM_Chest_AP1,360,train
764_PM_Chest_AP2,764,train
764_AM_Chest_AP1,764,train
764_PM_Chest_AP1,764,train
636_AM_Chest_AP1,636,train
636_AM_Chest_AP2,636,train
636_AM_Chest_AP5,636,train
075_AM_Chest_AP1,075,train
345_AM_Chest_AP2,345,train
338_AM_Chest_AP2,338,train
485_AM_Chest_AP6,485,train
485_AM_Chest_AP1,485,train
443_AM_Chest_AP1,443,train
362_AM_Chest_AP3,362,train
362_AM_Chest_AP1,362,train
613_AM_Chest_AP16,613,train
613_AM_Chest_AP2,613,train
084_AM_Chest_AP2,084,train
593_AM_Chest_AP15,593,train
593_AM_Chest_AP5,593,train
498_AM_Chest_AP30,498,train
498_AM_Chest_AP3,498,train
132_AM_Chest_AP3,132,train
493_AM_Chest_AP1,493,train
493_AM_Chest_AP4,493,train
493_AM_Chest_AP2,493,train
297_AM_Chest_AP1,297,train
867_AM_Chest_AP3,867,train
867_AM_Chest_AP2,867,train
233_AM_Chest_AP1,233,train
478_AM_Chest_AP2,478,train
205_AM_Chest_AP6,205,train
205_AM_Chest_AP7,205,train
490_AM_Chest_AP5,490,train
490_AM_Chest_AP3,490,train
191_AM_Chest_AP1,191,train
225_AM_Chest_AP3,225,train
795_AM_Chest_AP5,795,train
795_AM_Chest_AP7,795,train
555_AM_Chest_AP16,555,train
555_AM_Chest_AP7,555,train
555_AM_Chest_AP10,555,train
555_AM_Chest_AP15,555,train
555_AM_Chest_AP14,555,train
555_AM_Chest_AP8,555,train
555_AM_Chest_AP6,555,train
712_PM_Chest_AP1,712,train
864_AM_Chest_AP7,864,train
864_AM_Chest_AP3,864,train
864_AM_Chest_AP4,864,train
864_AM_Chest_AP5,864,train
814_AM_Chest_AP2,814,train
306_AM_Chest_AP1,306,train
122_AM_Chest_AP3,122,train
171_AM_Chest_AP1,171,train
702_AM_Chest_AP2,702,train
576_AM_Chest_AP1,576,train
737_AM_Chest_AP2,737,train
251_AM_Chest_AP3,251,train
251_AM_Chest_AP2,251,train
794_AM_Chest_AP6,794,train
794_AM_Chest_AP9,794,train
794_AM_Chest_AP1,794,train
371_AM_Chest_AP3,371,train
371_AM_Chest_AP2,371,train
560_AM_Chest_AP3,560,train
811_AM_Chest_AP1,811,train
339_AM_Chest_AP6,339,train
339_AM_Chest_AP3,339,train
339_AM_Chest_AP7,339,train
339_AM_Chest_AP2,339,train
339_AM_Chest_AP12,339,train
721_AM_Chest_AP9,721,valid
633_AM_Chest_AP9,633,valid
661_AM_Chest_AP2,661,valid
622_AM_Chest_AP2,622,valid
156_AM_Chest_AP3,156,valid
156_AM_Chest_AP1,156,valid
751_AM_Chest_AP8,751,valid
751_AM_Chest_AP23,751,valid
751_AM_Chest_AP9,751,valid
751_AM_Chest_AP24,751,valid
611_AM_Chest_AP1,611,valid
805_AM_Chest_AP1,805,valid
852_AM_Chest_AP4,852,valid
047_AM_Chest_AP,047,valid
319_AM_Chest_AP6,319,valid
319_AM_Chest_AP1,319,valid
319_AM_Chest_AP4,319,valid
550_AM_Chest_AP1,550,valid
546_AM_Chest_AP5,546,valid
546_AM_Chest_AP1,546,valid
553_AM_Chest_AP1,553,valid
153_AM_Chest_AP3,153,valid
827_AM_Chest_AP2,827,valid
740_AM_Chest_AP3,740,valid
094_AM_Chest_AP4,094,valid
506_AM_Chest_AP1,506,valid
792_AM_Chest_AP3,792,valid
106_AM_Chest_AP1,106,valid
877_PM_Chest_AP1,877,valid
342_AM_Chest_AP1,342,valid
640_AM_Chest_AP4,640,valid
640_AM_Chest_AP5,640,valid
466_AM_Chest_AP1,466,valid
480_AM_Chest_AP1,480,valid
591_AM_Chest_AP12,591,valid
591_AM_Chest_AP19,591,valid
591_AM_Chest_AP22,591,valid
591_AM_Chest_AP33,591,valid
591_AM_Chest_AP8,591,valid
591_AM_Chest_AP7,591,valid
195_AM_Chest_AP3,195,valid
445_AM_Chest_AP1,445,valid
445_AM_Chest_AP3,445,valid
161_AM_Chest_AP2,161,valid
321_AM_Chest_AP1,321,valid
152_AM_Chest_AP1,152,valid
863_AM_Chest_AP3,863,valid
728_AM_Chest_AP6,728,valid
728_AM_Chest_AP5,728,valid
728_AM_Chest_AP3,728,valid
173_AM_Chest_AP2,173,valid
626_AM_Chest_AP3,626,valid
802_AM_Chest_AP2,802,valid
219_AM_Chest_AP1,219,valid
072_AM_Chest_AP1,072,valid
380_AM_Chest_AP3,380,valid
320_AM_Chest_AP3,320,valid
510_AM_Chest_AP3,510,valid
693_AM_Chest_AP2,693,valid
198_AM_Chest_AP2,198,valid
523_AM_Chest_AP2,523,valid
760_PM_Chest_AP1,760,valid
302_AM_Chest_AP2,302,valid
009_PM_Chest_AP1,009,valid
386_AM_Chest_AP8,386,valid
386_AM_Chest_AP5,386,valid
165_AM_Chest_AP5,165,valid
014_PM_Chest_AP5,014,valid
011_AM_Chest_AP1,011,valid
699_AM_Chest_AP13,699,valid
699_AM_Chest_AP7,699,valid
699_AM_Chest_AP5,699,valid
699_AM_Chest_AP12,699,valid
699_AM_Chest_AP16,699,valid
699_AM_Chest_AP8,699,valid
699_AM_Chest_AP4,699,valid
451_AM_Chest_AP1,451,valid
292_PM_Chest_AP,292,valid
632_AM_Chest_AP2,632,valid
422_AM_Chest_AP0,422,valid
356_AM_Chest_AP3,356,valid
356_AM_Chest_AP4,356,valid
482_AM_Chest_AP3,482,valid
482_AM_Chest_AP4,482,valid
414_AM_Chest_AP2,414,valid
414_AM_Chest_AP3,414,valid
637_AM_Chest_AP5,637,valid
637_AM_Chest_AP3,637,valid
067_AM_Chest_AP2,067,valid
227_AM_Chest_AP2,227,valid
227_AM_Chest_AP1,227,valid
651_AM_Chest_AP13,651,valid
651_AM_Chest_AP10,651,valid
651_AM_Chest_AP8,651,valid
651_AM_Chest_AP6,651,valid
651_AM_Chest_AP4,651,valid
651_AM_Chest_AP5,651,valid
012_AM_Chest_AP1,012,valid
167_AM_Chest_AP8,167,valid
475_AM_Chest_AP11,475,valid
008_PM_Chest_AP5,008,valid
089_AM_Chest_AP5,089,valid
089_AM_Chest_AP2,089,valid
059_AM_Chest_AP1,059,valid
858_AM_Chest_AP1,858,valid
858_AM_Chest_AP11,858,valid
858_AM_Chest_AP4,858,valid
668_AM_Chest_AP13,668,valid
668_AM_Chest_AP15,668,valid
668_AM_Chest_AP1,668,valid
412_AM_Chest_AP14,412,valid
513_AM_Chest_AP9,513,valid
513_AM_Chest_AP5,513,valid
513_AM_Chest_AP6,513,valid
606_AM_Chest_AP2,606,valid
314_AM_Chest_AP2,314,valid
557_AM_Chest_AP5,557,valid
806_AM_Chest_AP2,806,valid
096_AM_Chest_AP1,096,valid
822_AM_Chest_AP3,822,valid
529_AM_Chest_AP5,529,valid
162_AM_Chest_AP10,162,valid
691_AM_Chest_AP8,691,valid
691_AM_Chest_AP5,691,valid
691_AM_Chest_AP11,691,valid
023_AM_Chest_AP,023,valid
024_AM_Chest_AP,024,valid
733_AM_Chest_AP5,733,valid
210_AM_Chest_AP1,210,valid
375_PM_Chest_AP2,375,valid
677_AM_Chest_AP2,677,valid
735_AM_Chest_AP1,735,valid
735_AM_Chest_AP7,735,valid
735_AM_Chest_AP3,735,valid
670_AM_Chest_AP1,670,valid
046_PM_Chest_AP1,046,valid
185_AM_Chest_AP2,185,valid
424_AM_Chest_AP7,424,valid
424_AM_Chest_AP1,424,valid
424_AM_Chest_AP6,424,valid
123_AM_Chest_AP1,123,valid
533_AM_Chest_AP7,533,valid
533_AM_Chest_AP9,533,valid
533_AM_Chest_AP1,533,valid
533_AM_Chest_AP4,533,valid
548_AM_Chest_AP1,548,valid
837_AM_Chest_AP1,837,valid
140_AM_Chest_AP4,140,valid
468_AM_Chest_AP2,468,valid
298_AM_Chest_AP6,298,valid
669_AM_Chest_AP3,669,valid
669_AM_Chest_AP5,669,valid
577_PM_Chest_AP1,577,valid
351_AM_Chest_AP1,351,valid
838_AM_Chest_AP1,838,valid
659_AM_Chest_AP2,659,valid
116_AM_Chest_AP6,116,valid
471_AM_Chest_AP2,471,valid
463_AM_Chest_AP1,463,valid
771_AM_Chest_AP2,771,valid
652_AM_Chest_AP1,652,valid
515_AM_Chest_AP7,515,valid
515_AM_Chest_AP8,515,valid
022_AM_Chest_AP,022,valid
413_AM_Chest_AP2,413,valid
346_AM_Chest_AP5,346,valid
545_AM_Chest_AP1,545,valid
409_AM_Chest_AP32,409,valid
409_AM_Chest_AP4,409,valid
409_AM_Chest_AP7,409,valid
409_AM_Chest_AP9,409,valid
409_AM_Chest_AP14,409,valid
409_AM_Chest_AP17,409,valid
409_AM_Chest_AP5,409,valid
409_AM_Chest_AP20,409,valid
409_AM_Chest_AP8,409,valid
139_AM_Chest_AP2,139,valid
437_AM_Chest_AP5,437,valid
492_AM_Chest_AP4,492,valid
492_AM_Chest_AP5,492,valid
492_AM_Chest_AP6,492,valid
157_AM_Chest_AP1,157,valid
538_AM_Chest_AP1,538,valid
180_AM_Chest_AP2,180,valid
829_AM_Chest_AP2,829,valid
301_AM_Chest_AP3,301,valid
189_AM_Chest_AP2,189,valid
054_AM_Chest_AP1,054,valid
056_PM_Chest_AP6,056,valid
698_AM_Chest_AP1,698,valid
698_AM_Chest_AP9,698,valid
698_AM_Chest_AP11,698,valid
129_AM_Chest_AP3,129,valid
686_AM_Chest_AP5,686,valid
766_AM_Chest_AP1,766,valid
689_AM_Chest_AP7,689,valid
689_AM_Chest_AP1,689,valid
689_AM_Chest_AP8,689,valid
689_AM_Chest_AP15,689,valid
551_AM_Chest_AP1,551,valid
565_AM_Chest_AP1,565,valid
111_AM_Chest_AP2,111,valid
147_AM_Chest_AP2,147,valid
428_AM_Chest_AP2,428,valid
547_AM_Chest_AP1,547,valid
547_AM_Chest_AP2,547,valid
579_AM_Chest_AP7,579,valid
579_AM_Chest_AP4,579,valid
315_AM_Chest_AP3,315,valid
420_AM_Chest_AP1,420,valid
750_AM_Chest_AP1,750,valid
204_AM_Chest_AP3,204,valid
581_AM_Chest_AP2,581,valid
682_AM_Chest_AP2,682,valid
856_AM_Chest_AP7,856,valid
856_AM_Chest_AP8,856,valid
215_AM_Chest_AP1,215,valid
334_AM_Chest_AP5,334,valid
403_AM_Chest_AP11,403,valid
403_AM_Chest_AP3,403,valid
403_AM_Chest_AP4,403,valid
655_AM_Chest_AP19,655,valid
655_AM_Chest_AP14,655,valid
655_AM_Chest_AP3,655,valid
770_AM_Chest_AP2,770,valid
221_AM_Chest_AP4,221,valid
201_AM_Chest_AP2,201,valid
247_AM_Chest_AP1,247,valid
232_AM_Chest_AP1,232,valid
452_AM_Chest_AP1,452,valid
820_AM_Chest_AP6,820,valid
820_AM_Chest_AP1,820,valid
820_AM_Chest_AP8,820,valid
820_AM_Chest_AP2,820,valid
234_AM_Chest_AP2,234,valid
031_AM_Chest_AP1,031,valid
874_AM_Chest_AP2,874,valid
476_AM_Chest_AP5,476,valid
500_PM_Chest_AP2,500,valid
182_AM_Chest_AP2,182,valid
182_AM_Chest_AP5,182,valid
182_AM_Chest_AP3,182,valid
572_AM_Chest_AP1,572,valid
572_AM_Chest_AP8,572,valid
440_AM_Chest_AP3,440,valid
107_AM_Chest_AP14,107,valid
107_AM_Chest_AP15,107,valid
107_AM_Chest_AP28,107,valid
107_AM_Chest_AP13,107,valid
032_PM_Chest_AP2,032,valid
322_AM_Chest_AP4,322,valid
765_PM_Chest_AP,765,valid
385_AM_Chest_AP1,385,valid
757_PM_Chest_AP3,757,valid
176_AM_Chest_AP1,176,valid
713_PM_Chest_AP,713,valid
296_AM_Chest_AP1,296,valid
725_AM_Chest_AP6,725,valid
725_AM_Chest_AP5,725,valid
163_AM_Chest_AP4,163,valid
187_AM_Chest_AP1,187,valid
187_AM_Chest_AP7,187,valid
187_AM_Chest_AP6,187,valid
552_AM_Chest_AP1,552,valid
398_AM_Chest_AP1,398,valid
813_AM_Chest_AP4,813,valid
813_AM_Chest_AP3,813,valid
813_AM_Chest_AP6,813,valid
076_AM_Chest_AP8,076,valid
076_AM_Chest_AP22,076,valid
076_AM_Chest_AP17,076,valid
076_AM_Chest_AP21,076,valid
076_AM_Chest_AP13,076,valid
076_AM_Chest_AP10,076,valid
826_AM_Chest_AP1,826,valid
826_AM_Chest_AP5,826,valid
246_AM_Chest_AP1,246,valid
635_AM_Chest_AP3,635,valid
172_AM_Chest_AP1,172,valid
674_AM_Chest_AP2,674,valid
019_PM_Chest_AP,019,valid
797_AM_Chest_AP10,797,valid
797_AM_Chest_AP7,797,valid
100_AM_Chest_AP1,100,valid
100_AM_Chest_AP4,100,valid
845_AM_Chest_AP4,845,valid
487_AM_Chest_AP9,487,valid
487_AM_Chest_AP10,487,valid
487_AM_Chest_AP4,487,valid
487_AM_Chest_AP7,487,valid
654_AM_Chest_AP2,654,valid
654_AM_Chest_AP5,654,valid
392_AM_Chest_AP2,392,valid
323_AM_Chest_AP4,323,valid
244_AM_Chest_AP13,244,valid
060_AM_Chest_AP2,060,valid
457_PM_Chest_AP1,457,valid
800_AM_Chest_AP1,800,valid
800_AM_Chest_AP13,800,valid
876_PM_Chest_AP1,876,valid
092_AM_Chest_AP1,092,valid
444_AM_Chest_AP2,444,valid
450_AM_Chest_AP1,450,valid
450_AM_Chest_AP5,450,valid
229_AM_Chest_AP1,229,valid
618_AM_Chest_AP1,618,valid
015_AM_Chest_AP,015,valid
419_AM_Chest_AP3,419,valid
379_AM_Chest_AP2,379,valid
590_AM_Chest_AP2,590,valid
739_AM_Chest_AP2,739,valid
739_AM_Chest_AP3,739,valid
052_PM_Chest_AP3,052,valid
